WikidataITEM,CountryIsoCode,countryLabel,WikidataLabel,Continent,FormerColony,hdi,mobilityScore,loc,lat,long
http://www.wikidata.org/entity/Q686,VUT,Vanuatu,Vanuatu,Oceania,,609.0,78.0,Vanuatu,-16.5255069,168.1069154
http://www.wikidata.org/entity/Q155,BRA,Brazil,Brazil,Latin_America_and_Caribbean,True,765.0,101.0,Brasil,-10.3333333,-53.2
http://www.wikidata.org/entity/Q685,SLB,Solomon Islands,Solomon Islands,Oceania,,567.0,80.0,Solomon Islands,-8.7053941,159.1070693851845
http://www.wikidata.org/entity/Q241,CUB,Cuba,Cuba,Latin_America_and_Caribbean,True,783.0,60.0,Cuba,23.0131338,-80.8328748
http://www.wikidata.org/entity/Q233,MLT,Malta,Malta,Europe,,895.0,130.0,Malta,35.8885993,14.4476911
http://www.wikidata.org/entity/Q711,MNG,Mongolia,Mongolia,Asia,True,737.0,54.0,Монгол улс ᠮᠤᠩᠭᠤᠯ ᠤᠯᠤᠰ,46.8250388,103.8499736
http://www.wikidata.org/entity/Q38,ITA,Italy,Italy,Europe,,892.0,134.0,Italia,42.6384261,12.674297
http://www.wikidata.org/entity/Q1013,LSO,Lesotho,Lesotho,Africa,True,527.0,65.0,Lesotho,-29.6039267,28.3350193
http://www.wikidata.org/entity/Q763,KNA,Saint Kitts and Nevis,Saint Kitts and Nevis,Latin_America_and_Caribbean,True,779.0,91.0,Saint Kitts and Nevis,17.250512,-62.6725973
http://www.wikidata.org/entity/Q217,MDA,Moldova,Moldova,Europe,,,71.0,Moldova,47.2879608,28.5670941
http://www.wikidata.org/entity/Q115,ETH,Ethiopia,Ethiopia,Africa,False,485.0,42.0,ኢትዮጵያ,10.2116702,38.6521203
,,British Virgin Islands,,,,,,British Virgin Islands,18.4024395,-64.5661642
http://www.wikidata.org/entity/Q232,KAZ,Kazakhstan,Kazakhstan,Asia,True,825.0,68.0,Қазақстан,48.1012954,66.7780818
http://www.wikidata.org/entity/Q219,BGR,Bulgaria,Bulgaria,Europe,,816.0,127.0,България,42.6073975,25.4856617
http://www.wikidata.org/entity/Q21203,ABW,Aruba,Aruba,Latin_America_and_Caribbean,True,,,"Aruba, Nederland",12.51756625,-69.98186415210564
,,East Germany,,,,,,"Iron Ore Miner from the Siegerland, Germany, North Broadway Street, East Town, Milwaukee, Milwaukee County, Wisconsin, 53203, United States",43.0439394,-87.9081981
http://www.wikidata.org/entity/Q235,MCO,Monaco,Monaco,Europe,,,123.0,Monaco,43.7323492,7.4276832
http://www.wikidata.org/entity/Q96,MEX,Mexico,Mexico,Latin_America_and_Caribbean,True,779.0,92.0,México,23.6585116,-102.0077097
http://www.wikidata.org/entity/Q917,BTN,Bhutan,Bhutan,Asia,False,654.0,53.0,འབྲུགཡུལ་,27.549511,90.5119273
,,French Guiana,,,,,,"Guyane, France",4.0039882,-52.999998
,,Midway Islands,,,,,,"Midway Atoll, United States",28.2417536,-177.37543
,,Saint Barthélemy,,,,,,"Saint-Barthélemy, 97133, France",17.9036287,-62.81152921501989
http://www.wikidata.org/entity/Q1030,NAM,Namibia,Namibia,Africa,True,646.0,64.0,Namibia,-23.2335499,17.3231107
,,French Southern and Antarctic Lands,,,,,,"Terres australes et antarctiques françaises, France",-49.237441950000004,69.62275903679347
http://www.wikidata.org/entity/Q574,,East Timor,East Timor,,,,,Timór Lorosa'e / Timor-Leste,-8.7443169,126.063482
,,French Polynesia,,,,,,"Polynésie Française, France",-17.0243749,-144.6434898
http://www.wikidata.org/entity/Q33,FIN,Finland,Finland,Europe,,938.0,135.0,Suomi / Finland,63.2467777,25.9209164
,,French Afar and Issas,,,,,,,,
,,Åland Islands,,,,,,"Åland, Suomi / Finland",60.2166218,19.9438638
,,Cayman Islands,,,,,,Cayman Islands,19.703182249999998,-79.9174627243246
,,Greenland,,,,,,Kalaallit Nunaat,77.6192349,-42.8125967
,,Western Sahara,,,,,,"الصحراء الغربية, Oum Dreyga ⵓⵎ ⴷⵔⵉⴳⴰ أم ادريكة, caïdat d’Oum Dreyga قيادة أم ادريكة, Dakhla-Oued Ed-Dahab ⴷⴰⵅⵍⴰ-ⵡⴰⴷ ⴷⴰⵀⴰⴱ الداخلة-وادي الذهب, Maroc / ⵍⵎⵖⵔⵉⴱ / المغرب",24.1797324,-13.7667848
http://www.wikidata.org/entity/Q702,FSM,Micronesia,Federated States of Micronesia,Oceania,,0.62,67.0,Micronesia,8.6062347,151.832744331612
http://www.wikidata.org/entity/Q37,LTU,Lithuania,Lithuania,Europe,,882.0,131.0,Lietuva,55.3500003,23.7499997
